seed,Wave,Reference,Predicted,TP,FP,FN,Missed,False,Sensitivity,PPV,F1
1,P,1276,1901,1250,651,26,26,651,0.9796238244514106,0.6575486586007364,0.7869058860560277
1,T,1476,2176,1421,755,55,55,755,0.9627371273712737,0.6530330882352942,0.7782037239868566
2,P,1276,1937,1252,685,24,24,685,0.9811912225705329,0.6463603510583377,0.7793339558045441
2,T,1476,2269,1433,836,43,43,836,0.9708672086720868,0.6315557514323491,0.7652870493991991
3,P,1276,1916,1217,699,59,59,699,0.9537617554858934,0.6351774530271399,0.762531328320802
3,T,1476,2200,1427,773,49,49,773,0.9668021680216802,0.6486363636363637,0.7763873775843307
