Experiment,Records,Windows,Post samples,Accuracy,P precision,P recall,P F1,T precision,T recall,T F1,Macro F1,Weighted F1,Seed,best_epoch,best_validation_loss,post_samples,Best epoch,Best validation loss,R4 threshold,R6 adaptation epochs
R1,180,1710,240,0.8777144249512671,0.7720635273829722,0.8013626456110975,0.7864402938030782,0.7388622648207313,0.7506452230950422,0.7447071385843588,0.8163721636884396,0.8781944076833889,2,10.0,0.19178837616549654,240.0,,,,
R2,180,1710,240,0.8552696556205328,0.6979291917167668,0.9048890685220203,0.788047543322627,0.6470668909775811,0.7976084481961929,0.7144941216854029,0.8006520276080025,0.8602283295774368,2,11.0,0.03990326977937537,240.0,,,,
R3,180,1710,240,0.8816845354126056,0.7638339143883195,0.8412460123850629,0.8006731925124506,0.7473920933391225,0.7566071971959563,0.7519714144898965,0.8242879391946918,0.8825157534777361,2,15.0,0.058277148346440134,240.0,,,,
R4,180,1710,240,0.8410607537361924,0.7747175873147476,0.4316151103540858,0.5543741251286235,0.7934427723193269,0.5888604627573848,0.6760124207530082,0.7099023360977954,0.8283153509167864,2,,,,10.0,0.19178837616549654,0.5500000000000002,
R5,180,1655,320,0.8762620159296897,0.7728895942862811,0.8248683270253818,0.7980334669107763,0.7933535281539558,0.7117359784511353,0.7503317871001175,0.8214159252523262,0.8752101794775096,2,12.0,0.1791644964800203,320.0,,,,
R6 adapted,180,1655,320,0.88981598461961,0.7921569614518179,0.8329672074742609,0.8120496694081599,0.7796271536661703,0.8202875846248532,0.7994406945358661,0.8450197760689674,0.8906702015756922,2,,,,11.0,0.17847222135942273,,8.0
