Seed,R3 Macro F1,R6 Macro F1,R6 minus R3
1,0.8074436816620572,0.844506101594897,0.037062419932839874
2,0.8242879391946918,0.8450197760689674,0.0207318368742756
3,0.8226994860860768,0.8443719964484847,0.021672510362407915
