Experiment,Records,Windows,Post samples,Accuracy,P precision,P recall,P F1,T precision,T recall,T F1,Macro F1,Weighted F1,Seed,best_epoch,best_validation_loss,post_samples,Best epoch,Best validation loss,R4 threshold,R6 adaptation epochs
R1,180,1710,240,0.881830734243015,0.7785936929600404,0.8004532528833523,0.7893721663499385,0.7683487330920176,0.727259407859888,0.7472396403281745,0.8193052629550813,0.8813683171537381,1,14.0,0.19449617519338175,240.0,,,,
R2,180,1710,240,0.855688758934373,0.6884528353637631,0.8695671001919829,0.768483023874371,0.655984778087526,0.8353864012893192,0.7348952033471476,0.8008849458485353,0.860864678634461,1,6.0,0.042835848009427725,240.0,,,,
R3,180,1710,240,0.8742413905133204,0.7521125964446203,0.7682780720874172,0.7601093949715445,0.7567827659771821,0.735621949982531,0.7460523383073204,0.8074436816620572,0.8740873237532605,1,11.0,0.05665321157285187,240.0,,,,
R4,180,1710,240,0.8397498375568551,0.7758843546387402,0.4245709254153615,0.5488216744724125,0.7990123843862674,0.5744345140822054,0.6683626302296763,0.705313105435971,0.8261675889227253,1,,,,14.0,0.19449617519338175,0.5500000000000002,
R5,180,1655,320,0.8780747047514419,0.7710893666130557,0.8311409893338274,0.799989810020571,0.7721571532056551,0.7582706556577758,0.7651509041343377,0.8271697631120868,0.8783113494047757,1,13.0,0.1901868672764936,320.0,,,,
R6 adapted,180,1655,320,0.8893861576489975,0.7867519028904034,0.8371225154169865,0.811155991536834,0.7816060335144305,0.8175779907442191,0.799187436518478,0.844506101594897,0.8902484667998461,1,,,,14.0,0.18629488878536457,,8.0
