Wave,Reference,Predicted,TP,FP,FN,Sensitivity,PPV,F1,Missed,False,Onset MAE,Offset MAE,seed,record_id,sampling_frequency_hz,reference_length,prediction_length
P,8,12,7,5,1,0.875,0.5833333333333334,0.7000000000000001,1,5,18.285714285714285,20.571428571428573,1,123,250.0,2500,2500
T,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,28.0,10.0,1,123,250.0,2500,2500
P,6,9,6,3,0,1.0,0.6666666666666666,0.8,0,3,6.0,5.333333333333333,1,124,250.0,2500,2500
T,6,14,6,8,0,1.0,0.42857142857142855,0.6,0,8,14.0,74.0,1,124,250.0,2500,2500
P,4,10,4,6,0,1.0,0.4,0.5714285714285715,0,6,24.0,50.0,1,125,250.0,2500,2500
T,6,8,6,2,0,1.0,0.75,0.8571428571428571,0,2,34.666666666666664,60.0,1,125,250.0,2500,2500
P,8,12,8,4,0,1.0,0.6666666666666666,0.8,0,4,16.5,25.5,1,126,250.0,2500,2500
T,8,3,1,2,7,0.125,0.3333333333333333,0.18181818181818182,7,2,140.0,36.0,1,126,250.0,2500,2500
P,6,8,6,2,0,1.0,0.75,0.8571428571428571,0,2,4.0,3.3333333333333335,1,128,250.0,2500,2500
T,6,7,6,1,0,1.0,0.8571428571428571,0.923076923076923,0,1,28.666666666666668,2.0,1,128,250.0,2500,2500
P,0,7,0,7,0,0.0,0.0,0.0,0,7,,,1,129,250.0,2500,2500
T,7,8,7,1,0,1.0,0.875,0.9333333333333333,0,1,10.285714285714286,3.4285714285714284,1,129,250.0,2500,2500
P,6,12,5,7,1,0.8333333333333334,0.4166666666666667,0.5555555555555556,1,7,76.0,56.8,1,13,250.0,2500,2500
T,6,13,6,7,0,1.0,0.46153846153846156,0.631578947368421,0,7,30.666666666666668,63.333333333333336,1,13,250.0,2500,2500
P,6,11,6,5,0,1.0,0.5454545454545454,0.7058823529411764,0,5,59.333333333333336,34.666666666666664,1,130,250.0,2500,2500
T,6,22,6,16,0,1.0,0.2727272727272727,0.42857142857142855,0,16,58.0,38.0,1,130,250.0,2500,2500
P,7,11,7,4,0,1.0,0.6363636363636364,0.7777777777777778,0,4,31.428571428571427,22.285714285714285,1,131,250.0,2500,2500
T,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,10.857142857142858,11.428571428571429,1,131,250.0,2500,2500
P,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,9.714285714285714,13.142857142857142,1,132,250.0,2500,2500
T,7,10,7,3,0,1.0,0.7,0.8235294117647058,0,3,28.0,3.4285714285714284,1,132,250.0,2500,2500
P,6,11,6,5,0,1.0,0.5454545454545454,0.7058823529411764,0,5,24.0,26.0,1,133,250.0,2500,2500
T,6,13,6,7,0,1.0,0.46153846153846156,0.631578947368421,0,7,79.33333333333333,64.66666666666667,1,133,250.0,2500,2500
P,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,7.0,4.0,1,135,250.0,2500,2500
T,8,11,8,3,0,1.0,0.7272727272727273,0.8421052631578948,0,3,42.5,8.5,1,135,250.0,2500,2500
P,8,10,8,2,0,1.0,0.8,0.888888888888889,0,2,3.0,10.5,1,137,250.0,2500,2500
T,8,12,8,4,0,1.0,0.6666666666666666,0.8,0,4,16.5,12.0,1,137,250.0,2500,2500
