Experiment,Records,Windows,Post samples,Accuracy,P precision,P recall,P F1,T precision,T recall,T F1,Macro F1,Weighted F1,Seed,best_epoch,best_validation_loss,post_samples,Best epoch,Best validation loss,R4 threshold,R6 adaptation epochs
R1,180,1710,240,0.8804580896686159,0.7568354787184065,0.8139064913318995,0.7843341818637065,0.7609488421319038,0.745494708607107,0.7531425058068042,0.8192068906607582,0.8807899071992551,3,11.0,0.18652929508072488,240.0,,,,
R2,180,1710,240,0.8639083820662768,0.7063796638905754,0.8900789583844566,0.7876604713546657,0.6660917649778189,0.8444138894837088,0.744726954654792,0.8124734322895142,0.8687187198529794,3,13.0,0.038998907291087785,240.0,,,,
R3,180,1710,240,0.8852030539311241,0.7774088755956896,0.784141923004749,0.7807608836253359,0.7920015493366902,0.737436463839331,0.7637456593422627,0.8226994860860768,0.8844790110919319,3,6.0,0.05677484122237989,240.0,,,,
R4,180,1710,240,0.840688758934373,0.757862913469844,0.4306046739899245,0.5491766308600042,0.8002147733374243,0.5878799490583687,0.6778070870746001,0.7087494541101146,0.8279476286107128,3,,,,11.0,0.18652929508072488,0.5500000000000002,
R5,180,1655,320,0.8788588299917605,0.7715239210021667,0.8199190111955112,0.7949856292342434,0.7782036926547392,0.7610361998545292,0.7695242097776628,0.8271587023443646,0.8789764131743325,3,15.0,0.19814172850436523,320.0,,,,
R6 adapted,180,1655,320,0.8889906619060698,0.785946754785211,0.8340920519810496,0.8093039977914882,0.7759350397387207,0.8279447850308925,0.8010966404751593,0.8443719964484847,0.8900514114676525,3,,,,8.0,0.17532327732838252,,8.0
